Name,Seller,Condition,Price,Shipping Cost,Shipping Country,Free Return,Last Item,Best Seller,Buy Now,Generation
Apple iPhone 12 Mini 64GB / 128GB / 256GB Odblokowany Czarny / Niebieski / Zielony / Fioletowy / Czerwony / Biały,  firma,Używany ,"749,59  do 999,47 ",Bezpłatna wysyłka za granicę, Wielka Brytania,False,False,False,False,12
Apple iPhone 12 mini - 64GB - czarny (bez simlocka) (Dual SIM),  prywatny,Używany ,"430,10 ","55,87", Niemcy,False,False,False,False,12
Apple iPhone XS - 64GB - złoty (NA CZĘŚCI) (ZABLOKOWANY) (CZYTAJ),  prywatny,Tylko na części ,"159,83 ","116,12", Stany Zjednoczone,False,False,False,False,xs
Apple iPhone 13 256GB Midnight Black Czarny Bez Simlocka 5G NOWY + ORYGINALNE OPAKOWANIE,  prywatny,Nowy (inny) ,"118,28 ","62,32", Niemcy,False,False,False,False,13
Apple iPhone XR - 64GB - czarny (odblokowany) A2105 (GSM),  prywatny,Używany ,"549,74 ","83,01", Wielka Brytania,False,False,False,False,xr
Apple iPhone 12 mini - 128GB - niebieski (odblokowany) MG783LL/A - w dobrym stanie,  prywatny,Używany ,"659,29 ","124,91", Stany Zjednoczone,False,False,False,False,12
Apple iPhone 12 mini - 64GB - niebieski (odblokowany) (Dual SIM),  prywatny,Używany ,"719,23 ","101,93", Stany Zjednoczone,False,False,False,False,12
Apple iPhone SE (2020) - 64GB - Czarny (Odblokowany) L,  prywatny,Używany ,"319,66 ","88,94", Stany Zjednoczone,False,False,False,False,se
Apple iPhone 3GS 16gb A1303 Nero Black 929,  firma,Używany ,"38,71 ","85,98", Włochy,False,False,True,False,3gs
Apple iPhone 11 A2221 (CDMA + GSM) - 64GB - zielony (bez simlocka) (Dual SIM),  prywatny,Używany ,"15,05 ","68,60", Niemcy,False,False,False,False,11
"Apple iPhone 15 Plus - 128GB - różowy (T-Mobile) finansowany, ale gwarantowany IMEI",  firma,Używany ,"1 993,85 ","143,37", Stany Zjednoczone,False,False,False,False,15
Apple iPhone 4 - 8GB - gwiezdna szarość (bez simlocka) A1332 (GSM),  prywatny,Używany ,"86,02 ","30,11", Niemcy,False,False,False,False,4
Apple iPhone 15 - 128GB - Czarny (T-Mobile) ZABLOKOWANY IPHONE !! Przeczytaj opis!!!,  prywatny,Tylko na części ,"861,07 ","130,90", Stany Zjednoczone,False,False,False,False,15
"Apple iPhone 11 6,1"" Smartphone 64GB Fioletowy iCloud Blokada Część zamienna / Uszkodzony",  firma,Tylko na części ,"6,45 ","42,97", Niemcy,False,False,False,False,11
iPhone 11 Pro Max złoty odblokowany 64GB w doskonałym stanie,  prywatny,Używany ,"694,67 ","117,84", Wielka Brytania,False,False,False,False,11
Apple iPhone 13 Pro 128GB 256GB 512GB 1TB Odblokowany wszystkie kolory Dobry stan,  firma,Odnowiony ,"1 924,03 ",Bezpłatna wysyłka za granicę, Wielka Brytania,False,False,False,False,13
Apple iPhone 1. Generacja 8GB 2G 1. generacji model 2007 bez simlocka!!!,  prywatny,Używany ,"946,21 ","107,52", Niemcy,False,False,False,False,1.
Apple iPhone 11 - 128GB Odblokowany - Dobry stan - kolor BIAŁY - PARTIA,  firma,Używany ,"59,87 ","51,38", Wielka Brytania,False,False,False,False,11
Apple iPhone 12 Pro Max 6 GB / 128 GB Pacific Blue,  prywatny,Tylko na części ,"250,00 ","25,00", Polska,False,False,False,False,12
Apple iPhone 5 A1429 16gb Nero Black 125,  firma,Używany ,"81,72 ","85,98", Włochy,False,False,True,False,5
Apple iPhone XR A2105 (CDMA + GSM) - 64GB - biały (bez simlocka) używany,  prywatny,Używany ,"15,05 ","86,02", Niemcy,False,False,False,False,xr
iPhone 11 - GB - fioletowy - w pełni odblokowany - DODATKI (Przeczytaj opis) BQ5,  firma,Używany ,"459,51 ","120,99", Stany Zjednoczone,False,False,False,False,11
Apple iPhone 11 A2111- 64GB - czarny (odblokowany) (CDMA + GSM),  firma,Używany ,"715,23 ","134,42", Stany Zjednoczone,False,False,False,False,11
iPhone SE 2020,  prywatny,Używany ,"500,00 ","20,00", Polska,False,False,False,False,se
Apple iPhone XR 64gb,  prywatny,Używany ,"645,15 ","103,22", Francja,False,False,False,False,xr
Apple iPhone 12 mini - 64GB - niebieski (odblokowany),  prywatny,Używany ,"3,96 ","96,82", Stany Zjednoczone,False,False,False,False,12
Apple iPhone 12 - 128GB - biały (odblokowany),  prywatny,Używany ,"724,66 ","49,98", Wielka Brytania,False,False,False,False,12
Apple iPhone 14 128gb odblokowany doskonały stan biustonosz 100%,  prywatny,Używany ,"274,87 ","75,76", Wielka Brytania,False,False,False,False,14
Apple iPhone 13 PRO A2638 - 128GB - grafitowy (bez simlocka) z kablem ładującym,  prywatny,Używany ,"1 720,39 ","68,39", Niemcy,False,False,False,False,13
Apple iPhone 11 - 64GB - czarny (odblokowany) A2111 (CDMA + GSM),  prywatny,Tylko na części ,"267,71 ","104,49", Stany Zjednoczone,False,False,False,False,11
Apple iPhone 11 (PRODUKT) CZERWONY - 64GB (T-Mobile) NA CZĘŚCI,  prywatny,Tylko na części ,"320,97 ","114,44", Stany Zjednoczone,False,False,False,False,11
Apple iPhone 5 A1429 Nero Black 136,  firma,Używany ,"30,11 ","85,98", Włochy,False,False,True,False,5
Apple iPhone 12 Pro - 128GB - Blu Pacifico (Sbloccato),  firma,Odnowiony ,"1 479,53 ","172,04", Włochy,False,False,False,False,12
Apple iPhone X w kolorze czarnym/srebrnym z blokadą iCloud,  prywatny,Tylko na części ,"258,06 ","62,32", Niemcy,False,False,False,False,x
Apple iPhone 5s 16GB GRAU - entsperrt/unlocked,  prywatny,Używany ,"86,02 ","64,51", Austria,False,False,False,False,5s
APPLE IPHONE 5C 16GB ORIGINALE come nuovo perfetto completo no SIM-lock -BIANCO-,  firma,Nowy (inny) ,"146,23 ","60,21", Włochy,False,False,False,False,5c
Apple iPhone SE (2020) - 64GB - czarny,  prywatny,Używany ,"21,98 ","127,44", Stany Zjednoczone,False,False,False,False,se
Apple iPhone XS - 256GB - Space Grey (odblokowany) Wadliwe części zamienne lub naprawy,  firma,Tylko na części ,"4,95 ","74,01", Wielka Brytania,False,False,False,False,xs
Apple iPhone 13 Pro Max 256GB Graphite Verizon ODBLOKOWANY BEZ OGRANICZEŃ,  prywatny,Używany ,"599,32 ","147,00", Stany Zjednoczone,False,False,False,False,13
Apple iPhone XR A2105 - 64GB - czarny (bez simlocka) (Dual SIM) (4508),  firma,Używany ,"174,19 ","55,48", Niemcy,False,False,False,False,xr
"Apple iPhone 11 6,1"" Smartfon 128GB iCloud Blokada Część zamienna / Uszkodzony",  firma,Tylko na części ,"27,96 ","42,97", Niemcy,False,False,False,False,11
Apple iPhone 13 - 128GB - Midnight / iCloud Locked! Zamknięty!,  firma,Tylko na części ,"855,89 ","86,02", Niemcy,False,False,True,False,13
"Apple iPhone 11 - 64GB - fioletowy (odblokowany), fabrycznie nowy, 100% stanu baterii.",  firma,Fabrycznie nowy ,"1 444,31 ","74,96", Wielka Brytania,False,False,False,False,11
Apple iPhone XR 64GB czarny - fabrycznie odblokowany - dobry stan,  firma,Używany ,"659,09 ","90,26", Stany Zjednoczone,False,False,True,False,xr
Apple iPhone XS - 64GB - złoty (odblokowany) (Pojedyncza karta SIM),  prywatny,Używany ,"759,14 ","103,25", Stany Zjednoczone,False,False,False,False,xs
Apple iPhone 11 Pro Max - 256GB - nocna zieleń (bez simlocka),  firma,Odnowiony ,"1 199,97 ","62,32", Niemcy,False,False,False,False,11
Apple iPhone 12 Pro - 128GB - grafitowy (odblokowany) A2407 (CDMA + GSM),  prywatny,Używany ,"1 199,43 ","107,65", Wielka Brytania,False,False,False,False,12
NOWY Apple iPhone 1. Generacja - 8GB - A1203 (GSM) NIE AKTYWOWANA,  prywatny,Nowy (inny) ,"15 053,40 ","68,82", Niemcy,False,False,False,False,1.
Apple iPhone 11 - 64GB - zielony (odblokowany) A2221 (CDMA + GSM),  prywatny,Używany ,"224,89 ","79,56", Wielka Brytania,False,False,False,False,11
Apple iPhone 11 - 64GB - czerwony (odblokowany) .czytaj,  firma,Używany ,"679,27 ","100,65", Stany Zjednoczone,False,False,True,False,11
Apple iPhone 4 - 8GB - czarny (bez simlocka) A1332 (GSM),  firma,Tylko na części ,"21,46 ","15,91", Niemcy,False,False,False,False,4
Apple iPhone SE A1723 - biały srebrny - 64GB (odblokowany) smartfon w pełni działający,  firma,Używany ,"324,80 ","39,98", Wielka Brytania,False,False,False,False,se
Apple iPhone 6s - 32GB - gwiezdna szarość (odblokowany) A1688 (CDMA + GSM),  firma,Używany ,"75,92 ","139,77", Stany Zjednoczone,False,False,False,False,6s
Apple iPhone 7 - 128GB - czarny (bez simlocka),  prywatny,Używany ,"215,05 ","64,51", Niemcy,False,False,False,False,7
Apple iPhone XS 64GB Space Gray Usato Perfettamente Funzionante,  firma,Używany ,"580,63 ","64,51", Włochy,False,False,False,False,xs
Apple iPhone 7 Plus - 128GB - srebrny (T-Mobile),  prywatny,Tylko na części ,"195,79 ","117,15", Stany Zjednoczone,False,False,False,False,7
iPhone 2g 1. Generation Wyświetlacz LCD Ekran dotykowy Digitizer OEM Apple,  prywatny,Fabrycznie nowy ,"602,14 ","62,32", Niemcy,False,False,False,False,2g
Apple iPhone 11 - 64GB - fioletowy (odblokowany) - doskonały stan [9860],  firma,Używany ,"699,67  do 769,53 ","73,47", Wielka Brytania,False,False,False,False,11
Apple iPhone SE - 32 Go - Gris Sidéral (Désimlocké),  prywatny,Używany ,"253,76 ","55,70", Francja,False,False,False,False,se
Apple iPhone 12 Pro Max - 512GB - grafitowy (bez simlocka) (Dual SIM),  prywatny,Używany ,"2 064,47 ","86,02", Niemcy,False,False,False,False,12
Apple iPhone 1. Generacja - obudowa 16GB STAN NOWY.,  prywatny,Fabrycznie nowy ,"623,64 ","55,87", Niemcy,False,False,False,False,1.
Apple iPhone 11 - 64GB - biały (odblokowany) Jailbroken Ios 16.11,  prywatny,Używany ,"994,93 ","157,27", Stany Zjednoczone,False,False,False,False,11
Apple iPhone 12 Pro 128GB grafit odblokowany - dobry stan,  firma,Używany ,"1 438,21 ","115,60", Stany Zjednoczone,False,False,True,False,12
Apple iPhone 4s - 64GB - czarny (bez simlocka) A1387 (CDMA + GSM),  prywatny,Nowy (inny) ,"602,14 ","64,51", Niemcy,False,False,False,False,4s
"Apple iPhone 11 - 64GB - zielony (odblokowany), fabrycznie nowy, 100% stanu baterii.",  firma,Fabrycznie nowy ,"1 444,31 ","74,96", Wielka Brytania,False,False,False,False,11
Smartfon Apple iPhone 11 iOS 64-256GB - aparat 12mp - od dealera,  firma,Używany ,"856,71  do 1 114,77 ","64,51", Niemcy,False,False,True,False,11
Apple iPhone 15 Pro - 128GB - tytanowy biały (bez simlocka) *nowy*oryginalne opakowanie*dealer*,  firma,Fabrycznie nowy ,"4 343,98 ","62,36", Niemcy,False,False,False,False,15
"USZKODZONY 5X Apple iPhone SE 2020 - NIE MA DOSTĘPU, PRZECZYTAJ OPIS AA2268",  firma,Tylko na części ,"749,59 ","75,16", Wielka Brytania,False,False,True,False,se
Smartfon Apple iPhone XR 64GB (MT2E2LL/A) tylko T-Mobile - bardzo dobry,  prywatny,Używany ,"359,61 ","110,24", Stany Zjednoczone,False,False,False,False,xr
Apple iPhone 7 128GB różowe złoto bez simlocka stan dobry,  prywatny,Używany ,"258,06 ","77,42", Niemcy,False,False,False,False,7
Apple iPhone 7 - 32GB - Nero Opaco A1778 - Grado B (Sbloccato),  prywatny,Używany ,"215,01 ","128,99", Włochy,False,False,False,False,7
iPhone 15 Pro 512gb - czarny tytan odblokowany - 1 rok gwarancji Apple - fabrycznie nowy w pudełku,  firma,Fabrycznie nowy ,"5 742,27 ","248,98", Wielka Brytania,True,False,False,False,15
Apple iPhone - 8GB - czarny (AT&T),  prywatny,Używany ,"53,94 ","141,54", Stany Zjednoczone,False,False,False,False,-
Apple iPhone SE 2. generacji - 128GB - czerwony (bez simlocka) (Dual SIM),  prywatny,Używany ,"124,73 ","55,87", Niemcy,False,False,False,False,se
Apple iPhone 1. generacji - 4GB - A1203,  prywatny,Używany ,"199,79 ","99,49", Stany Zjednoczone,False,False,False,False,1.
"Apple iPhone 11 64GB biały 6,1"" 4G - nieużywany - gwarancja Apple kwiecień 2025",  firma,Fabrycznie nowy ,"1 594,24 ","104,35", Wielka Brytania,False,False,False,False,11
Apple iPhone XR - 64GB (odblokowany) Jailbroken Ios 15.3,  prywatny,Używany ,"915,02 ","154,67", Stany Zjednoczone,False,False,False,False,xr
Damaged Apple iPhone 15 - 128 GB Green Smartphone Faulty For parts,  firma,Tylko na części ,"1 931,14 ","43,01", Litwa,False,True,True,True,15
BATTERIE INTERNE 0 CYCLE NEUVE POUR IPHONE 4S 5SE 6S 7 8 PLUS X 11 12 13 PRO MAX,  firma,Fabrycznie nowy ,"27,91  do 98,49 ","17,20", Francja,True,False,True,False,4s
Apple iPhone 3GS 32GB A1303 czarny w pudełku vintage zasilany nie zatrzymuje ładowania,  firma,Tylko na części ,"233,75 ","114,08", Stany Zjednoczone,False,False,False,False,3gs
Apple iPhone 11 Pro - (Odblokowany) - 256GB - A2160 - dobry,  firma,Odnowiony ,"1 054,86 ","112,84", Stany Zjednoczone,False,False,True,False,11
Apple iPhone 4S 16gb A1387 Bianco White 965,  firma,Używany ,"81,72 ","85,98", Włochy,False,False,True,False,4s
"Apple iPhone 13 Pro - HS - écran led verte, fonctionne que par induction",  firma,Tylko na części ,"1 505,30 ","77,42", Francja,False,False,False,False,13
Apple iPhone 12 128GB Sieć odblokowana - niebieski - dobry stan,  firma,Używany ,"998,89 ","118,71", Stany Zjednoczone,False,False,False,False,12
NOWY I ZAPIECZĘTOWANY Apple iPhone 15 PRO MAX 1TB CZARNY TYTAN ODBLOKOWANY MODEL BRYTYJSKI.,  firma,Fabrycznie nowy ,"5 992,15 ","257,63", Wielka Brytania,False,False,False,False,15
Apple iPhone 12 Mini 128GB LTE 5G Czarny Nowy od dealera Apple,  firma,Fabrycznie nowy ,"2 146,19 ","51,57", Niemcy,False,False,False,False,12
Apple iPhone SE (2020) - 64GB - czerwony (odblokowany),  prywatny,Używany ,"119,83 ","144,20", Stany Zjednoczone,False,False,False,False,se
Apple iPhone 5 A1429 16gb Nero Black 143,  firma,Używany ,"81,72 ","85,98", Włochy,False,False,True,False,5
Apple iPhone 12 zielony 128gb (odblokowany) idealny stan 2025,  prywatny,Używany ,"1 199,43 ","99,95", Wielka Brytania,False,False,False,False,12
Apple iPhone 12 - 128GB - fabrycznie odblokowany - wszystkie kolory - bardzo dobry,  firma,Odnowiony ,"1 158,15  do 1 198,11 ","107,76", Stany Zjednoczone,False,False,True,False,12
Apple iPhone 6 - A1586 - gwiezdna szarość - 32GB - iOS9 - Nano-SIM - 8 MP,  firma,Używany ,"150,49 ","40,86", Niemcy,False,False,True,False,6
"Apple iPhone ze spadku, model nie wiem; zablokowany / AppleID nieznany",  prywatny,Używany ,"4,30 ","64,47", Niemcy,False,False,False,False,ze
Smartfon Apple iPhone SE 2020 iOS 64-256GB LTE - aparat 12MP - od dealera,  firma,Nowy (inny) ,"684,67  do 1 501,86 ","64,51", Niemcy,False,False,True,False,se
iPhone Xr - żółty - 64GB (odblokowany),  prywatny,Używany ,"679,27 ","135,17", Stany Zjednoczone,False,False,False,False,xr
Apple iPhone SE (2020) - 64GB - Czarny (Odblokowany),  prywatny,Używany ,"119,83 ","144,20", Stany Zjednoczone,False,False,False,False,se
Apple iPhone 12 mini (PRODUKT) CZERWONY - 128GB (NA CZĘŚCI) (ZABLOKOWANY) (CZYTAJ),  prywatny,Tylko na części ,"439,53 ","124,35", Stany Zjednoczone,False,False,False,False,12
"Smartfon Apple iPhone XS sprace szary 64GB LTE iOS wyświetlacz 5,8 cala",  firma,Używany ,"515,69 ","85,59", Niemcy,False,False,True,False,xs
90% N ew testowany 100% działający Apple iphone 5S 16GB odblokowany bez pudełka,  firma,Używany ,"162,19 ",Bezpłatna wysyłka za granicę, Chiny,False,False,True,False,5s
Apple iPhone 5 - uszkodzony - 16GB - czarny - bez akcesoriów,  prywatny,Tylko na części ,"24,94 ","74,71", Wielka Brytania,False,False,False,False,5
iPhone 13 alpejski zielony tylko na części nie będzie się zasilał,  prywatny,Używany ,"499,46 ","112,68", Stany Zjednoczone,False,False,False,False,13
NOWY i14 Pro Max Android Telefon komórkowy 4GB + 64GB Odblokowany Dual SIM USA Magazyn Niebieski,  prywatny,Fabrycznie nowy ,"336,24 ","128,46", Stany Zjednoczone,False,False,False,False,
Apple iPhone 6 A1549 biały,  prywatny,Tylko na części ,"83,55 ","120,02", Stany Zjednoczone,False,False,False,False,6
Apple iPhone 11 - 64GB - czarny (odblokowany) A2111 (CDMA + GSM),  prywatny,Używany ,"679,27 ","124,63", Stany Zjednoczone,False,False,False,False,11
iPhone SE 2. generacji - 64GB - odblokowany (Przeczytaj opis) BH1254,  firma,Używany ,"119,87 ","89,45", Stany Zjednoczone,False,False,True,False,se
Apple iPhone 12 A2172 64GB odblokowany w dobrym stanie czysty IMEI,  firma,Używany ,"659,25 ","100,01", Stany Zjednoczone,False,False,False,False,12
"Apple iPhone Xr - Czarny - 128GB , fabrycznie nowy, 100%🔋 zdrowie",  firma,Fabrycznie nowy ,"1 094,48 ","87,11", Wielka Brytania,False,False,False,False,xr
PRZECZYTAJ OPIS Apple iPhone 13 mini - 128GB - zielony (odblokowany) (Pojedyncza karta SIM),  prywatny,Tylko na części ,"479,48 ","94,14", Stany Zjednoczone,False,False,False,False,13
iPhone SE (2020) nero da 64 GB,  prywatny,Używany ,"516,12 ","129,03", Włochy,False,False,False,False,se
Apple iPhone 11 - 64GB - fioletowy (odblokowany) -Tył C,  firma,Używany ,"659,09 ","100,01", Stany Zjednoczone,False,True,True,True,11
Apple iPhone 11 - 64GB - zielony (odblokowany) A2221 (CDMA + GSM) (patrz opis),  firma,Tylko na części ,"4,95 ","74,06", Wielka Brytania,False,False,False,False,11
Odblokowany Apple iPhone 11 64GB zielony A2111 doskonały ekran tył DMG bez prądu przemiennego,  firma,Używany ,"799,10 ","94,82", Stany Zjednoczone,False,False,True,False,11
Telephone iPhone XS - 64 Go - Gris Sidéral Bloqué iCloud,  firma,Używany ,"473,11 ","56,34", Francja,False,True,False,True,xs
Apple iPhone 4/5/6 iPad iPod pakiet mieszanka odblokowany działa / nie działa ✅🚚�,  prywatny,Używany ,"499,71 ","101,15", Wielka Brytania,False,False,False,False,4/5/6
Apple iPhone XR A1984 64GB Odblokowany Fair Condition Sprawdź IMEI,  firma,Używany ,"439,37 ","92,86", Stany Zjednoczone,False,False,False,False,xr
Apple iPhone 15 Pro 256GB tytan niebieski (bez simlocka) natychmiast nowy i oryginalne opakowanie,  firma,Fabrycznie nowy ,"4 941,82 ","150,10", Niemcy,True,True,False,True,15
Apple iPhone 11 - 64GB - czarny (odblokowany) A2111 (CDMA + GSM),  prywatny,Używany ,"215,77 ","119,35", Stany Zjednoczone,False,False,False,False,11
Apple iPhone 6S 4.7 Smartpgone 32GB Różowe złoto iCloud Blokada Część zamienna / Uszkodzony,  firma,Tylko na części ,"4,30 ","42,97", Niemcy,False,False,False,False,6s
"I-PHONE 3 G , czarny - z oryginalnym opakowaniem",  firma,Używany ,"4,30 ","43,01", Niemcy,False,False,False,False,
"90% Nowy odblokowany oryginalny iPhone 5S 16GB 32GB 64GB czarny, złoty, biały,",  firma,Nowy (inny) ,"255,72  do 411,56 ",Bezpłatna wysyłka za granicę, Hongkong,False,False,True,False,5s
Apple iPhone XS Max - 64GB - srebrny (Verizon),  prywatny,Używany ,"199,79 ","109,52", Stany Zjednoczone,False,False,False,False,xs
"starszy Apple iPhone ze spadku, model nieznany; AppleID nieznany/zablokowany",  prywatny,Używany ,"4,30 ","64,47", Niemcy,False,False,False,False,ze
Apple iPhone XR - 64GB - fabrycznie odblokowany - używany bardzo dobry właściciel AT&T One,  firma,Używany ,"619,29 ","138,61", Stany Zjednoczone,False,False,False,False,xr
Apple 3. generacji iPhone 3GS - 16GB - czarny A1303 (GSM) MC131B/A oryginalne pudełko #k,  prywatny,Używany ,"124,69 ","53,62", Wielka Brytania,False,False,False,False,3gs
Apple iPhone SE (2020) - 64GB - czerwony (Verizon),  prywatny,Używany ,"59,94 ","141,79", Stany Zjednoczone,False,False,False,False,se
Apple iPhone X 256GB srebrny odblokowany T-mobile,  prywatny,Używany ,"203,78 ","115,44", Stany Zjednoczone,False,False,False,False,x
"Boost Mobile Apple iPhone 11 6,1"" 64GB Prepaid Smartphone Biały Fabrycznie nowy",  prywatny,Fabrycznie nowy ,"798,66 ","104,53", Stany Zjednoczone,False,False,False,False,11
Apple iPhone SE (2020) - 64GB - Czarny (Odblokowany) A,  prywatny,Używany ,"76,72 ","99,72", Stany Zjednoczone,False,False,False,False,se
APPLE IPHONE 5C 16GB ORIGINALE come nuovo perfetto completo no SIM-lock-AZZURRO-,  firma,Fabrycznie nowy ,"146,23 ","60,21", Włochy,False,False,False,False,5c
Apple iPhone 12 - 64GB - Czerwony - Odblokowany smartfon - Fair / Front Cam Scratch,  firma,Używany ,"798,82 ","94,78", Stany Zjednoczone,False,True,True,True,12
Apple iPhone 14 Pro Max - 128GB - tylko głęboki fiolet (AT&T) ***CZYTAJ***,  firma,Używany ,"1 778,09 ","176,33", Stany Zjednoczone,False,False,False,False,14
Apple iPhone 7 - 32GB - Jet Black (odblokowany) A1660 (CDMA + GSM) BATT HEALTH 85%,  prywatny,Używany ,"251,73 ","86,75", Stany Zjednoczone,False,False,False,False,7
APPLE IPHONE 6 A1549 szary na części. Nie wiem co GB. Nie działa,  prywatny,Tylko na części ,"68,81 ","138,01", Stany Zjednoczone,False,False,False,False,6
iPhone 11 Pro Max 512GB Matowa gwiezdna szarość Verizon ODBLOKOWANY BEZ OGRANICZEŃ SIM,  prywatny,Używany ,"609,34 ","147,32", Stany Zjednoczone,False,False,False,False,11
Apple iPhone 13 Pro Max - 128GB 256GB 512GB - Wszystkie kolory - Doskonały stan,  firma,Odnowiony ,"2 345,48 ","145,04", Stany Zjednoczone,False,False,True,False,13
Apple iPhone X - 64 GB - Argento (Sbloccato),  prywatny,Używany ,"516,12 ","150,53", Włochy,False,False,False,False,x
Apple iPhone 14 Pro Max 128GB ciemnofioletowy smartfon iOS dobry,  firma,Odnowiony ,"3 225,69 ","38,67", Niemcy,False,True,True,True,14
Iphone 5 In Good Conditions (battery To Be Changed),  prywatny,Tylko na części ,"129,03 ","150,53", Włochy,False,False,False,False,5
